"","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Tenure","MonthlyCharge","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Churn_Yes","Techie_Yes","Port_modem_Yes","Tablet_Yes","InternetService_Fiber_Optic","InternetService_None","Phone_Yes","Multiple_Yes","OnlineSecurity_Yes","OnlineBackup_Yes","DeviceProtection_Yes","TechSupport_Yes","StreamingTV_Yes","StreamingMovies_Yes","PaperlessBilling_Yes","PaymentMethod_Credit_Card_(automatic)","PaymentMethod_Electronic_Check","PaymentMethod_Mailed_Check"
"1",11.69907956,12,0,1,1.156680997,242.632554,3,4,3,3,4,3,4,4,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0
"2",8.147416533,16,2,1,1.670971726,149.948316,4,4,4,3,4,4,4,5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"3",11.18272453,10,0,1,13.23677381,200.118516,6,5,6,4,1,5,5,5,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
"4",7.791632265,16,0,0,4.26425515,114.950905,2,2,2,5,2,3,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"5",5.739005915,20,2,3,8.220686373,117.468591,5,4,4,3,4,3,4,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"6",9.341631685,9,0,2,19.26726194,174.958118,4,4,4,7,3,3,3,4,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
"7",6.68082638,17,1,1,10.52199781,149.962093,4,4,3,4,4,4,3,4,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
"8",8.273875452,9,0,0,13.01149229,137.439154,1,2,1,4,3,2,3,3,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"9",11.79073041,10,3,0,10.06019902,159.965581,3,3,4,2,3,4,4,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"10",13.52284721,13,1,0,15.78214958,194.966286,3,4,4,3,5,4,4,3,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0
"11",10.92246098,10,1,0,12.80615845,149.944668,5,5,5,4,4,4,3,3,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0
"12",12.06889188,14,0,3,20.45390977,184.978458,2,3,3,2,4,2,3,3,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"13",9.372975594,16,1,1,6.652298992,124.964303,3,3,3,2,2,3,5,5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
"14",13.74777955,15,1,0,5.770390256,162.511928,3,3,4,2,4,4,3,4,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0
"15",9.767668044,12,1,0,4.157658837,92.455141,4,4,4,4,2,4,5,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",15.8626095,15,0,1,10.40566091,222.649979,5,3,5,3,3,5,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
"17",14.73616645,12,0,0,1.392421597,139.981577,2,2,3,4,4,2,2,2,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
"18",8.774646693,9,0,0,4.727388465,230.105118,4,4,4,5,2,5,3,5,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0
"19",11.13156721,8,1,1,20.89923386,174.958118,5,5,4,3,5,3,4,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"20",13.80362698,11,0,1,5.478588204,162.483267,4,2,3,4,3,3,4,3,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
"21",16.31017089,16,1,1,3.312991809,229.993134,4,3,5,5,2,4,5,5,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
"22",11.42906608,12,1,0,9.179779682,172.457857,5,2,3,3,3,5,4,4,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
"23",8.06137096,16,2,0,3.002844144,107.481989,3,3,2,3,5,4,3,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
"24",10.58349704,5,1,0,10.377366,245.174977,3,3,2,2,4,3,5,2,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
"25",12.50184778,11,1,0,22.25746016,184.964681,4,4,5,2,2,4,3,3,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0
"26",9.750038902,11,1,0,9.427146079,195.006206,4,5,3,4,3,3,4,3,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
"27",12.43563329,14,0,1,11.56938439,92.488023,3,3,4,3,5,3,3,4,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
"28",8.957166926,13,3,0,3.343811019,184.979684,2,2,3,4,3,5,2,4,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
"29",8.015021713,12,1,0,7.338869531,187.656013,2,3,3,5,4,2,3,2,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
"30",4.210347704,8,0,0,5.486534225,149.962093,4,4,4,3,4,2,5,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
"31",9.03738856,11,2,0,12.07970325,160.00128,4,2,4,5,4,3,3,4,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
"32",8.387624096,11,0,1,9.563362997,114.950905,5,4,3,5,3,3,5,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
"33",9.565924291,10,3,0,2.344875382,194.976769,3,4,3,2,3,4,2,4,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
"34",10.79349982,14,3,0,7.960490246,152.455519,5,5,5,4,3,2,4,4,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
"35",6.081975067,15,0,0,12.25062113,92.5018,5,5,5,3,4,3,2,5,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"36",13.55065547,13,0,0,9.634946079,127.488728,4,4,4,3,4,4,3,3,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0
"37",6.194985909,11,0,1,4.471254161,265.146969,3,3,2,4,4,3,3,3,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0
"38",10.80393657,19,1,0,10.79028074,207.609354,4,4,3,6,2,5,7,4,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"39",7.903964267,17,0,1,12.24190682,152.462354,3,1,2,2,5,2,2,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0
"40",11.27443693,18,2,1,2.203859443,200.132293,4,4,4,5,4,4,4,3,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
"41",6.258356398,9,0,1,9.190009376,255.137219,4,3,2,3,3,3,3,4,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
"42",12.92303286,16,0,0,2.378630018,214.966286,4,4,4,5,2,3,4,4,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
"43",13.04429298,18,1,0,24.64873861,240.114868,4,4,5,1,4,4,3,3,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
"44",14.89762162,17,0,0,9.677739656,127.495766,3,4,3,4,5,4,3,3,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0
"45",15.66367593,6,1,0,7.832238337,169.992756,3,3,3,4,4,3,4,4,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"46",8.265002035,10,1,0,14.34766616,120.004928,4,4,3,3,4,3,2,5,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
"47",14.6040829,12,3,0,4.650578623,114.983787,3,3,2,2,5,4,2,3,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
"48",7.274007029,13,1,1,3.721772616,207.638588,4,3,3,6,1,4,3,3,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
"49",8.913898759,12,4,0,3.76663012,187.609354,4,4,4,3,3,3,3,5,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
"50",8.294186076,13,0,0,2.188918771,192.470522,3,3,3,3,3,4,3,3,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1
"51",15.19664016,9,1,0,13.85488928,222.628057,3,2,3,2,4,3,2,4,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1
"52",11.0596826,13,0,0,4.672610857,245.145743,5,5,4,5,1,5,5,4,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
"53",8.834079073,17,0,1,6.796299371,124.97808,4,4,4,3,2,4,3,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"54",5.271228601,14,1,1,12.97632235,187.484705,3,2,2,4,3,2,3,2,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
"55",9.394961367,15,1,0,20.31163945,162.500692,5,4,4,3,4,4,5,5,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1
"56",10.68311773,12,1,1,14.46288204,222.660939,3,2,3,5,3,4,4,3,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0
"57",12.40165307,19,1,0,2.542296644,220.161527,2,4,3,2,3,3,5,3,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1
"58",14.86100819,16,0,2,22.79214163,204.963371,3,3,3,3,2,4,4,4,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
"59",6.716953195,10,2,1,3.823689744,204.963371,3,5,3,2,4,2,4,2,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0
"60",8.124258176,18,1,0,10.77094687,245.128318,3,3,2,4,3,2,4,3,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
"61",14.60903837,11,0,2,13.08671185,172.473314,4,4,3,3,5,3,2,2,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
"62",12.65015936,9,2,2,14.76468813,172.456745,4,3,4,3,5,4,2,3,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"63",12.0281501,14,0,0,9.473091121,194.976769,2,2,2,2,4,2,3,2,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
"64",15.68043093,16,1,0,5.197446331,137.439154,4,4,4,4,3,3,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"65",10.26646787,10,1,0,3.174571918,159.951231,4,3,4,2,3,3,3,3,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
"66",7.56618217,9,0,0,17.88002366,112.455141,3,3,3,3,3,3,3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"67",10.40677369,14,2,0,13.12190056,174.961766,5,4,4,3,3,5,3,4,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1
"68",7.146124361,13,3,0,23.34617699,162.452604,6,5,4,4,4,3,5,3,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
